process,Start,Finish,Priority,wait_time,Turnaround_time,Response_time
122,0,16,30,0,16,0
416,16,56,30,16,56,16
472,56,91,30,56,91,56
777,91,138,30,91,138,91
826,138,176,30,138,176,138
348,176,202,30,176,202,175
485,202,238,30,202,238,201
509,238,277,30,238,277,237
536,277,326,30,277,326,276
581,326,353,30,326,353,325
889,353,374,30,353,374,352
26,374,382,30,373,381,372
241,382,399,30,381,398,380
250,399,409,30,398,408,397
357,409,428,30,408,427,407
822,428,429,30,427,428,426
56,429,461,30,427,459,426
329,461,466,30,459,464,458
356,466,493,30,464,491,463
395,493,503,30,491,501,490
439,503,513,30,501,511,500
476,513,514,30,511,512,510
743,514,528,30,512,526,511
2,528,546,30,525,543,524
132,546,549,30,543,546,542
143,549,573,30,546,570,545
144,573,609,30,570,606,569
203,609,642,30,606,639,605
331,642,647,30,639,644,638
140,647,657,30,643,653,642
193,657,661,30,653,657,652
221,661,699,30,657,695,656
976,699,741,30,695,737,694
481,741,759,29,741,759,741
577,759,796,29,759,796,759
836,796,805,29,796,805,796
896,805,821,29,805,821,805
163,821,834,29,821,834,820
223,834,850,29,834,850,833
937,850,856,29,850,856,849
970,856,878,29,856,878,855
204,878,889,29,877,888,876
505,889,904,29,888,903,887
653,904,909,29,903,908,902
654,909,910,29,908,909,907
811,910,912,29,909,911,908
891,912,957,29,911,956,910
967,957,1003,29,956,1002,955
334,1003,1033,29,1001,1031,1000
457,1033,1048,29,1031,1046,1030
723,1048,1080,29,1046,1078,1045
725,1080,1096,29,1078,1094,1077
147,1096,1139,29,1093,1136,1092
616,1139,1165,29,1136,1162,1135
750,1165,1177,29,1162,1174,1161
202,1177,1187,29,1173,1183,1172
358,1187,1237,29,1183,1233,1182
492,1237,1238,29,1233,1234,1232
830,1238,1241,29,1234,1237,1233
327,1241,1289,28,1241,1289,1241
399,1289,1324,28,1289,1324,1289
440,1324,1371,28,1324,1371,1324
693,1371,1400,28,1371,1400,1371
841,1400,1450,28,1400,1450,1400
857,1450,1457,28,1450,1457,1450
137,1457,1480,28,1457,1480,1456
314,1480,1485,28,1480,1485,1479
373,1485,1530,28,1485,1530,1484
387,1530,1577,28,1530,1577,1529
452,1577,1603,28,1577,1603,1576
35,1603,1616,28,1602,1615,1601
234,1616,1622,28,1615,1621,1614
328,1622,1638,28,1621,1637,1620
780,1638,1666,28,1637,1665,1636
249,1666,1711,28,1664,1709,1663
409,1711,1714,28,1709,1712,1708
487,1714,1727,28,1712,1725,1711
548,1727,1774,28,1725,1772,1724
570,1774,1819,28,1772,1817,1771
582,1819,1843,28,1817,1841,1816
608,1843,1890,28,1841,1888,1840
792,1890,1925,28,1888,1923,1887
102,1925,1938,28,1922,1935,1921
199,1938,1984,28,1935,1981,1934
396,1984,2018,28,1981,2015,1980
450,2018,2034,28,2015,2031,2014
636,2034,2067,28,2031,2064,2030
766,2067,2070,28,2064,2067,2063
911,2070,2107,28,2067,2104,2066
240,2107,2126,28,2103,2122,2102
370,2126,2147,28,2122,2143,2121
547,2147,2196,28,2143,2192,2142
174,2196,2215,27,2196,2215,2196
280,2215,2231,27,2215,2231,2215
562,2231,2269,27,2231,2269,2231
799,2269,2304,27,2269,2304,2269
827,2304,2308,27,2304,2308,2304
365,2308,2355,27,2308,2355,2307
479,2355,2379,27,2355,2379,2354
925,2379,2422,27,2379,2422,2378
103,2422,2431,27,2421,2430,2420
117,2431,2456,27,2430,2455,2429
148,2456,2484,27,2455,2483,2454
192,2484,2505,27,2483,2504,2482
281,2505,2546,27,2504,2545,2503
401,2546,2590,27,2545,2589,2544
784,2590,2596,27,2589,2595,2588
806,2596,2622,27,2595,2621,2594
852,2622,2633,27,2621,2632,2620
855,2633,2670,27,2632,2669,2631
44,2670,2716,27,2668,2714,2667
289,2716,2765,27,2714,2763,2713
546,2765,2766,27,2763,2764,2762
757,2766,2802,27,2764,2800,2763
138,2802,2842,27,2799,2839,2798
564,2842,2876,27,2839,2873,2838
622,2876,2879,27,2873,2876,2872
