process,Start,Finish,Priority,wait_time,Turnaround_time,Response_time
998,0,1,2,0,1,-1
998,1,2,2,0,1,-1
998,2,3,2,0,1,-1
998,3,4,2,0,1,-1
998,4,5,2,0,1,-1
998,5,6,2,0,1,-1
998,6,7,2,0,1,-1
998,7,8,2,0,1,-1
998,8,9,2,0,1,-1
998,9,10,2,0,1,-1
998,10,11,2,0,1,-1
998,11,12,2,0,1,-1
998,12,13,2,0,1,-1
998,13,14,2,0,1,-1
998,14,15,2,0,1,-1
998,15,48,2,0,33,0
999,48,50,7,44,46,43
995,50,66,0,46,62,45
994,66,67,23,62,63,-1
994,67,68,23,62,63,-1
994,68,69,23,62,63,-1
994,69,70,23,62,63,-1
994,70,71,23,62,63,-1
994,71,72,23,62,63,-1
994,72,73,23,62,63,-1
994,73,74,23,62,63,-1
994,74,75,23,62,63,-1
994,75,76,23,62,63,-1
994,76,77,23,62,63,-1
994,77,78,23,62,63,-1
994,78,111,23,62,95,0
992,111,112,10,107,108,-1
992,112,113,10,107,108,-1
992,113,114,10,107,108,-1
992,114,115,10,107,108,-1
992,115,116,10,107,108,-1
992,116,149,10,107,140,0
982,149,150,23,145,146,-1
982,150,151,23,145,146,-1
982,151,152,23,145,146,-1
982,152,153,23,145,146,-1
982,153,154,23,145,146,-1
982,154,187,23,145,178,0
977,187,188,11,183,184,-1
977,188,189,11,183,184,-1
977,189,190,11,183,184,-1
977,190,191,11,183,184,-1
977,191,192,11,183,184,-1
977,192,193,11,183,184,-1
977,193,194,11,183,184,-1
977,194,195,11,183,184,-1
977,195,196,11,183,184,-1
977,196,197,11,183,184,-1
977,197,198,11,183,184,-1
977,198,199,11,183,184,-1
977,199,200,11,183,184,-1
977,200,201,11,183,184,-1
977,201,202,11,183,184,-1
977,202,203,11,183,184,-1
977,203,236,11,183,216,0
971,236,237,24,232,233,-1
971,237,238,24,232,233,-1
971,238,239,24,232,233,-1
971,239,272,24,232,265,0
969,272,304,13,268,300,267
961,304,318,8,300,314,299
947,318,350,3,314,346,313
942,350,369,8,346,365,345
937,369,389,25,365,385,364
935,389,390,4,385,386,-1
935,390,391,4,385,386,-1
935,391,392,4,385,386,-1
935,392,393,4,385,386,-1
935,393,394,4,385,386,-1
935,394,395,4,385,386,-1
935,395,396,4,385,386,-1
935,396,397,4,385,386,-1
935,397,398,4,385,386,-1
935,398,399,4,385,386,-1
935,399,400,4,385,386,-1
935,400,401,4,385,386,-1
935,401,402,4,385,386,-1
935,402,403,4,385,386,-1
935,403,404,4,385,386,-1
935,404,437,4,385,418,0
932,437,438,29,433,434,-1
932,438,439,29,433,434,-1
932,439,440,29,433,434,-1
932,440,441,29,433,434,-1
932,441,442,29,433,434,-1
932,442,443,29,433,434,-1
932,443,444,29,433,434,-1
932,444,445,29,433,434,-1
932,445,446,29,433,434,-1
932,446,447,29,433,434,-1
932,447,448,29,433,434,-1
932,448,449,29,433,434,-1
932,449,482,29,433,466,0
920,482,503,28,478,499,477
908,503,519,30,499,515,498
906,519,538,6,515,534,514
896,538,552,10,534,548,533
892,552,567,13,548,563,547
883,567,595,27,563,591,562
870,595,607,1,591,603,590
826,607,638,20,603,634,602
819,638,659,11,634,655,633
816,659,660,15,655,656,-1
816,660,661,15,655,656,-1
816,661,662,15,655,656,-1
816,662,663,15,655,656,-1
816,663,664,15,655,656,-1
816,664,665,15,655,656,-1
816,665,666,15,655,656,-1
816,666,667,15,655,656,-1
816,667,668,15,655,656,-1
816,668,669,15,655,656,-1
816,669,670,15,655,656,-1
816,670,671,15,655,656,-1
816,671,672,15,655,656,-1
816,672,673,15,655,656,-1
816,673,674,15,655,656,-1
816,674,675,15,655,656,-1
816,675,676,15,655,656,-1
816,676,709,15,655,688,0
813,709,728,4,705,724,704
812,728,729,14,724,725,-1
812,729,730,14,724,725,-1
812,730,731,14,724,725,-1
812,731,732,14,724,725,-1
812,732,733,14,724,725,-1
812,733,734,14,724,725,-1
812,734,767,14,724,757,0
798,767,784,12,763,780,762
787,784,816,18,780,812,779
786,816,844,9,812,840,811
770,844,845,25,840,841,-1
770,845,846,25,840,841,-1
770,846,847,25,840,841,-1
770,847,848,25,840,841,-1
770,848,881,25,840,873,0
763,881,882,12,877,878,-1
763,882,883,12,877,878,-1
763,883,884,12,877,878,-1
763,884,885,12,877,878,-1
763,885,918,12,877,910,0
757,918,933,9,914,929,913
748,933,934,13,929,930,-1
748,934,935,13,929,930,-1
748,935,936,13,929,930,-1
748,936,937,13,929,930,-1
748,937,970,13,929,962,0
745,970,973,2,966,969,965
731,973,994,15,969,990,968
722,994,995,25,990,991,-1
722,995,996,25,990,991,-1
722,996,997,25,990,991,-1
722,997,998,25,990,991,-1
722,998,999,25,990,991,-1
722,999,1032,25,990,1023,0
713,1032,1036,0,1028,1032,1027
705,1036,1039,25,1032,1035,1031
