process,Start,Finish,Priority,wait_time,Turnaround_time,Response_time
0,0,10,20,0,10,-10
8,10,20,19,10,20,-10
11,20,30,27,20,30,-10
15,30,40,21,30,40,-10
26,40,50,4,40,50,-10
31,50,60,19,50,60,-10
32,60,70,27,60,70,-10
52,70,74,6,70,74,70
75,74,84,25,74,84,-10
81,84,94,20,84,94,-10
89,94,104,27,94,104,-10
99,104,114,20,104,114,-10
100,114,124,16,114,124,-10
120,124,134,2,124,134,-10
125,134,143,30,134,143,134
135,143,153,28,143,153,-10
137,153,163,19,153,163,-10
147,163,173,8,163,173,-10
150,173,183,28,173,183,-10
162,183,190,30,183,190,183
163,190,193,0,190,193,190
173,193,203,11,193,203,-10
180,203,213,17,203,213,-10
181,213,223,1,213,223,-10
199,223,225,20,223,225,223
203,225,235,8,225,235,-10
227,235,245,12,235,245,-10
231,245,255,24,245,255,-10
234,255,265,21,255,265,-10
238,265,275,22,265,275,-10
239,275,285,1,275,285,-10
242,285,295,26,285,295,-10
246,295,305,30,295,305,-10
248,305,315,14,305,315,-10
259,315,325,14,315,325,-10
275,325,335,19,325,335,-10
280,335,345,14,335,345,-10
283,345,355,28,345,355,-10
287,355,365,22,355,365,-10
291,365,375,27,365,375,-10
299,375,385,15,375,385,-10
301,385,395,1,385,395,-10
306,395,405,17,395,405,-10
340,405,408,0,405,408,405
344,408,418,5,408,418,-10
350,418,428,28,418,428,-10
356,428,438,4,428,438,-10
362,438,448,8,438,448,-10
369,448,458,6,448,458,-10
377,458,468,23,458,468,-10
384,468,478,9,468,478,-10
385,478,488,4,478,488,-10
388,488,498,23,488,498,-10
406,498,508,12,498,508,-10
408,508,518,5,508,518,-10
411,518,523,19,518,523,518
413,523,533,24,523,533,-10
419,533,543,24,533,543,-10
422,543,553,1,543,553,-10
425,553,563,27,553,563,-10
427,563,570,11,563,570,563
430,570,577,19,570,577,570
455,577,587,30,577,587,-10
459,587,597,10,587,597,-10
461,597,600,2,597,600,597
471,600,610,4,600,610,-10
488,610,620,17,610,620,-10
496,620,630,30,620,630,-10
499,630,640,21,630,640,-10
